paper_id,title,year,citation_key,arxiv_id,doi,url,record_origin,substrate,adaptation,outcome,outcome_detail,substrate_score,substrate_margin,adaptation_score,adaptation_margin,outcome_score,outcome_margin,outcome_detail_score,outcome_detail_margin,confidence,source_status
multi-agent-deep-reinforcement-learning-for-computation-offloading-and-interfere,Multi-Agent Deep Reinforcement Learning for Computation Offloading and Interference Coordination in Small Cell Networks,2021,huang_2021_multi_agent_deep_reinforceme,,10.1109/tvt.2021.3096928,https://doi.org/10.1109/tvt.2021.3096928,registry,Workflow,Propagate,Violation,Privacy & Purpose,11.60,9.10,16.00,9.70,8.50,8.50,2.00,0.00,low,abstract_or_short
multi-agent-concentrative-coordination-with-decentralized-task-representation,Multi-Agent Concentrative Coordination with Decentralized Task Representation,2022,yuan_2022_multi_agent_concentrative_co,,10.24963/ijcai.2022/85,https://doi.org/10.24963/ijcai.2022/85,registry,Workflow,Propagate,Violation,Operational Integrity,11.60,9.10,16.00,14.00,7.00,5.50,2.00,2.00,low,full_text
learning-to-coordinate-with-coordination-graphs-in-repeated-single-stage-multi-a,Learning to Coordinate with Coordination Graphs in Repeated Single-Stage Multi-Agent Decision Problems,2018,bargiacchi_2018_learning_to_coordinate_with,,,https://biblio.vub.ac.be/vubir/learning-to-coordinate-with-coordination-graphs-in-repeated-singlestage-multiagent-decision-problems(f4e3e291-6300-4c2a-a5b4-101d65ef04b3).html,registry,Workflow,Propagate,Violation,Operational Integrity,11.60,11.60,16.00,10.00,7.00,7.00,2.00,2.00,low,abstract_or_short
learning-scalable-multi-agent-coordination-by-spatial-differentiation-for-traffi,Learning scalable multi-agent coordination by spatial differentiation for traffic signal control,2021,liu_2021_learning_scalable_multi_agen,,10.1016/j.engappai.2021.104165,https://doi.org/10.1016/j.engappai.2021.104165,registry,Workflow,Propagate,Violation,Operational Integrity,11.60,11.60,16.00,10.00,7.00,3.00,2.00,2.00,low,source_limited
learning-multi-agent-coordination-for-enhancing-target-coverage-in-directional-s,Learning Multi-Agent Coordination for Enhancing Target Coverage in Directional Sensor Networks,2020,xu_2020_learning_multi_agent_coordin,,10.48550/arxiv.2010.13110,http://arxiv.org/abs/2010.13110,registry,Workflow,Propagate,Violation,Privacy & Purpose,12.29,5.19,16.45,10.00,8.50,6.30,2.00,0.00,low,full_text
interval-observer-based-robust-coordination-control-of-multi-agent-systems-over,Interval Observer-Based Robust Coordination Control of Multi-Agent Systems Over Directed Networks,2021,wang_2021_interval_observer_based_robu,,10.1109/tcsi.2021.3111870,https://doi.org/10.1109/tcsi.2021.3111870,registry,Workflow,Propagate,Violation,Privacy & Purpose,11.60,9.10,16.00,14.00,8.50,0.50,2.00,0.00,low,abstract_or_short
hybrid-mechanisms-for-robust-synchronization-and-coordination-of-multi-agent-net,Hybrid mechanisms for robust synchronization and coordination of multi-agent networked sampled-data systems,2018,poveda_2018_hybrid_mechanisms_for_robust,,10.1016/j.automatica.2018.10.010,https://doi.org/10.1016/j.automatica.2018.10.010,registry,Workflow,Propagate,Violation,Operational Integrity,11.60,11.60,16.00,14.00,7.00,3.00,2.00,2.00,low,source_limited
haven-hierarchical-cooperative-multi-agent-reinforcement-learning-with-dual-coor,HAVEN: Hierarchical Cooperative Multi-Agent Reinforcement Learning with Dual Coordination Mechanism,2023,xu_2023_haven_hierarchical_cooperati,,10.1609/aaai.v37i10.26386,https://doi.org/10.1609/aaai.v37i10.26386,registry,Workflow,Propagate,Violation,Operational Integrity,11.60,11.60,16.60,10.60,7.00,7.00,2.00,2.00,low,abstract_or_short
group-hybrid-coordination-control-of-multi-agent-systems-with-time-delays-and-ad,Group Hybrid Coordination Control of Multi-Agent Systems With Time-Delays and Additive Noises,2022,li_2022_group_hybrid_coordination_co,,10.1109/jas.2022.105917,https://doi.org/10.1109/jas.2022.105917,registry,Workflow,Propagate,Violation,Privacy & Purpose,11.60,9.10,16.00,14.00,8.50,4.50,2.00,0.00,low,abstract_or_short
game-based-coordination-control-of-multi-agent-systems,Game-based coordination control of multi-agent systems,2022,zhou_2022_game_based_coordination_cont,,10.1016/j.sysconle.2022.105376,https://doi.org/10.1016/j.sysconle.2022.105376,registry,Workflow,Propagate,Violation,Operational Integrity,11.60,11.60,16.00,14.00,7.00,3.00,2.00,2.00,low,source_limited
fully-distributed-coordination-learning-control-of-second-order-nonlinear-multi,Fully distributed coordination learning control of second‐order nonlinear multi‐agent systems with input saturation,2020,yang_2020_fully_distributed_coordinati,,10.1002/asjc.2330,https://doi.org/10.1002/asjc.2330,registry,Workflow,Modify,Violation,Operational Integrity,11.00,11.00,6.00,0.00,7.00,3.00,2.00,2.00,low,source_limited
event-triggered-distributed-predictive-control-for-asynchronous-coordination-of,Event-triggered distributed predictive control for asynchronous coordination of multi-agent systems,2018,zou_2018_event_triggered_distributed,,10.1016/j.automatica.2018.10.019,https://doi.org/10.1016/j.automatica.2018.10.019,registry,Workflow,Propagate,Violation,Operational Integrity,11.60,11.60,16.00,8.00,7.00,3.00,2.00,2.00,low,source_limited
event-triggered-coordination-of-multi-agent-systems-via-a-lyapunov-based-approac,Event-triggered coordination of multi-agent systems via a Lyapunov-based approach for leaderless consensus,2021,chen_2021_event_triggered_coordination,,10.1016/j.automatica.2021.109936,https://doi.org/10.1016/j.automatica.2021.109936,registry,Workflow,Propagate,Violation,Operational Integrity,11.60,11.60,16.00,8.00,7.00,7.00,2.00,2.00,low,source_limited
event-triggered-communication-and-control-of-networked-systems-for-multi-agent-c,Event-triggered communication and control of networked systems for multi-agent consensus,2019,nowzari_2019_event_triggered_communicatio,,10.1016/j.automatica.2019.03.009,https://doi.org/10.1016/j.automatica.2019.03.009,registry,Workflow,Propagate,Violation,Operational Integrity,11.00,11.00,16.60,8.60,7.00,3.00,2.00,2.00,low,source_limited
event-triggered-coordination-control-for-multi-agent-systems-with-connectivity-p,Event-triggered Coordination Control for Multi-agent Systems with Connectivity Preservation,2019,fan_2019_event_triggered_coordination,,10.1007/s12555-018-0700-y,https://doi.org/10.1007/s12555-018-0700-y,registry,Workflow,Propagate,Violation,Operational Integrity,12.20,9.70,16.52,8.07,7.00,1.15,2.00,2.00,low,full_text
distributed-optimal-coordination-control-for-nonlinear-multi-agent-systems-using,Distributed optimal coordination control for nonlinear multi-agent systems using event-triggered adaptive dynamic programming method,2019,zhao_2019_distributed_optimal_coordina,,10.1016/j.isatra.2019.01.021,https://doi.org/10.1016/j.isatra.2019.01.021,registry,Workflow,Propagate,Violation,Operational Integrity,11.60,11.60,16.00,8.00,7.00,3.00,2.00,2.00,low,source_limited
distributed-iterative-learning-coordination-control-for-leader-follower-uncertai,Distributed iterative learning coordination control for leader–follower uncertain non‐linear multi‐agent systems with input saturation,2019,yang_2019_distributed_iterative_learni,,10.1049/iet-cta.2018.6268,https://doi.org/10.1049/iet-cta.2018.6268,registry,Workflow,Modify,Violation,Operational Integrity,11.00,11.00,6.00,0.00,7.00,3.00,2.00,2.00,low,source_limited
distributed-edge-based-event-triggered-coordination-control-for-multi-agent-syst,Distributed edge-based event-triggered coordination control for multi-agent systems,2021,zhao_2021_distributed_edge_based_event,,10.1016/j.automatica.2021.109797,https://doi.org/10.1016/j.automatica.2021.109797,registry,Workflow,Propagate,Violation,Operational Integrity,11.60,11.60,16.00,8.00,7.00,3.00,2.00,2.00,low,source_limited
distributed-coordination-control-of-multi-agent-systems-under-intermittent-sampl,Distributed coordination control of multi-agent systems under intermittent sampling and communication: a comprehensive survey,2025,ge_2025_distributed_coordination_con,,10.1007/s11432-024-4355-1,https://doi.org/10.1007/s11432-024-4355-1,registry,Workflow,Propagate,Violation,Operational Integrity,12.29,9.79,17.18,14.73,7.35,3.00,2.00,2.00,low,full_text
deep-implicit-coordination-graphs-for-multi-agent-reinforcement-learning,Deep Implicit Coordination Graphs for Multi-agent Reinforcement Learning,2020,li_2020_deep_implicit_coordination_g,,10.48550/arxiv.2006.11438,http://arxiv.org/abs/2006.11438,registry,Workflow,Propagate,Violation,Privacy & Purpose,12.29,9.19,16.45,9.93,8.50,8.15,2.00,0.00,low,full_text
counterfactual-multi-agent-policy-gradients,Counterfactual Multi-Agent Policy Gradients,2018,foerster_2018_counterfactual_multi_agent_p,,10.1609/aaai.v32i1.11794,https://doi.org/10.1609/aaai.v32i1.11794,registry,Workflow,Propagate,Violation,Operational Integrity,11.00,11.00,16.00,14.00,7.00,7.00,2.00,2.00,low,abstract_or_short
coordination-dynamics-of-multi-agent-interaction-in-a-musical-ensemble,Coordination dynamics of multi-agent interaction in a musical ensemble,2022,proksch_2022_coordination_dynamics_of_mul,,10.1038/s41598-021-04463-6,https://doi.org/10.1038/s41598-021-04463-6,registry,Workflow,Propagate,Violation,Operational Integrity,12.38,12.38,16.59,14.59,7.00,7.00,2.00,2.00,low,full_text
cooperative-coordination-and-formation-control-for-multi-agent-systems,Cooperative Coordination and Formation Control for Multi-agent Systems,2018,sun_2018_cooperative_coordination_and,,10.1007/978-3-319-74265-6,https://doi.org/10.1007/978-3-319-74265-6,registry,Workflow,Propagate,Violation,Operational Integrity,11.60,11.60,16.60,14.60,7.00,3.00,2.00,2.00,low,full_text
collaborative-multi-robot-search-and-rescue-planning-coordination-perception-and,"Collaborative Multi-Robot Search and Rescue: Planning, Coordination, Perception, and Active Vision",2020,queralta_2020_collaborative_multi_robot_se,,10.1109/access.2020.3030190,https://doi.org/10.1109/access.2020.3030190,registry,Workflow,Propagate,Violation,Privacy & Purpose,11.60,9.10,6.00,4.00,8.50,8.50,2.00,0.00,low,abstract_or_short
clinical-performance-feedback-intervention-theory-cp-fit-a-new-theory-for-design,"Clinical Performance Feedback Intervention Theory (CP-FIT): a new theory for designing, implementing, and evaluating feedback in health care based on a systematic review and meta-synthesis of qualitative research",2019,brown_2019_clinical_performance_feedbac,,10.1186/s13012-019-0883-5,https://doi.org/10.1186/s13012-019-0883-5,registry,Workflow,Abstract,Response,Monitoring & Containment,6.00,6.00,16.52,11.52,5.85,4.85,6.40,6.40,medium,full_text
bi-level-actor-critic-for-multi-agent-coordination,Bi-Level Actor-Critic for Multi-Agent Coordination,2020,zhang_2020_bi_level_actor_critic_for_mu,,10.1609/aaai.v34i05.6226,https://doi.org/10.1609/aaai.v34i05.6226,registry,Workflow,Propagate,Violation,Operational Integrity,11.60,11.60,16.00,14.00,7.00,7.00,2.00,2.00,low,abstract_or_short
average-consensus-tracking-of-sensor-network-via-distributed-coordination-contro,Average-Consensus Tracking of Sensor Network via Distributed Coordination Control of Heterogeneous Multi-Agent Systems,2018,zheng_2018_average_consensus_tracking_o,,10.1109/lcsys.2018.2856105,https://doi.org/10.1109/lcsys.2018.2856105,registry,Workflow,Propagate,Violation,Privacy & Purpose,11.60,4.72,16.00,14.00,8.50,4.50,2.00,0.00,low,abstract_or_short
an-event-driven-behavior-trees-extension-to-facilitate-non-player-multi-agent-co,An event-driven behavior trees extension to facilitate non-player multi-agent coordination in video games,2020,agis_2020_an_event_driven_behavior_tre,,10.1016/j.eswa.2020.113457,https://doi.org/10.1016/j.eswa.2020.113457,registry,Workflow,Propagate,Violation,Operational Integrity,11.60,11.60,16.00,14.00,7.00,7.00,2.00,2.00,low,source_limited
an-overview-of-recent-advances-in-distributed-coordination-of-multi-agent-system,An Overview of Recent Advances in Distributed Coordination of Multi-Agent Systems,2021,yang_2021_an_overview_of_recent_advanc,,10.1142/s2301385021500199,https://doi.org/10.1142/s2301385021500199,registry,Workflow,Propagate,Violation,Operational Integrity,11.60,11.60,16.00,14.00,7.00,7.00,2.00,2.00,low,source_limited
a-survey-of-distributed-optimization,A survey of distributed optimization,2019,yang_2019_a_survey_of_distributed_opti,,10.1016/j.arcontrol.2019.05.006,https://doi.org/10.1016/j.arcontrol.2019.05.006,registry,Workflow,Propagate,Violation,Operational Integrity,7.00,7.00,6.00,2.00,7.00,7.00,2.00,2.00,low,source_limited
a-novel-coordination-mechanism-to-coordinate-the-multi-agent-reverse-supply-chai,A novel coordination mechanism to coordinate the multi-agent reverse supply chain with fairness concerns,2023,jia_2023_a_novel_coordination_mechani,,10.1016/j.ijpe.2023.108973,https://doi.org/10.1016/j.ijpe.2023.108973,registry,Workflow,Propagate,Violation,Operational Integrity,11.60,11.60,16.00,14.00,7.00,7.00,2.00,2.00,low,source_limited
a-multi-agent-based-integrated-volt-var-optimization-engine-for-fast-vehicle-to,A multi-agent based integrated volt-var optimization engine for fast vehicle-to-grid reactive power dispatch and electric vehicle coordination,2018,zhang_2018_a_multi_agent_based_integrat,,10.1016/j.apenergy.2018.07.092,https://doi.org/10.1016/j.apenergy.2018.07.092,registry,Workflow,Propagate,Violation,Operational Integrity,11.60,11.60,16.00,12.00,7.00,7.00,2.00,2.00,low,source_limited
a-multi-agent-deep-reinforcement-learning-coordination-framework-for-connected-a,A Multi-Agent Deep Reinforcement Learning Coordination Framework for Connected and Automated Vehicles at Merging Roadways,2022,nakka_2022_a_multi_agent_deep_reinforce,,10.23919/acc53348.2022.9867314,https://doi.org/10.23919/acc53348.2022.9867314,registry,Workflow,Propagate,Violation,Privacy & Purpose,11.60,9.10,16.00,9.70,8.50,4.50,2.00,0.00,low,abstract_or_short
the-impact-of-modern-ai-in-metadata-management,The Impact of Modern AI in Metadata Management,2025,yang_2025_the_impact_of_modern_ai_in_m,,10.1007/s44230-025-00106-5,https://doi.org/10.1007/s44230-025-00106-5,registry,Model,Modify,Response,Recovery & Contestability,7.00,3.15,11.45,11.45,2.20,1.20,4.00,2.00,low,full_text
ragva-engineering-retrieval-augmented-generation-based-virtual-assistants-in-pra,RAGVA: Engineering retrieval augmented generation-based virtual assistants in practice,2025,yang_2025_ragva_engineering_retrieval,,10.1016/j.jss.2025.112436,https://doi.org/10.1016/j.jss.2025.112436,registry,Memory,Modify,Violation,Provenance Loss,7.47,0.47,11.00,5.00,1.00,1.00,2.00,2.00,low,source_limited
pattern-recognition-and-artificial-intelligence,Pattern Recognition and Artificial Intelligence,2025,jeju_do_2025_pattern_recognition_and_arti,,10.1007/978-981-97-8702-9,https://doi.org/10.1007/978-981-97-8702-9,registry,Model,Modify,Violation,Model Safety Regression,7.00,4.12,11.30,11.30,1.00,1.00,7.00,7.00,low,full_text
improving-retrieval-augmented-generation-in-medicine-with-iterative-follow-up-qu,Improving Retrieval-Augmented Generation in Medicine with Iterative Follow-up Questions,2024,xiong_2024_improving_retrieval_augmente,,10.1142/9789819807024_0015,https://doi.org/10.1142/9789819807024_0015,registry,Memory,Modify,Violation,Provenance Loss,7.10,0.10,11.00,5.00,1.00,1.00,2.00,2.00,low,source_limited
hallucination-detection-in-foundation-models-for-decision-making-a-flexible-defi,Hallucination Detection in Foundation Models for Decision-Making: A Flexible Definition and Review of the State of the Art,2025,chakraborty_2025_hallucination_detection_in_f,,10.1145/3716846,https://doi.org/10.1145/3716846,registry,Model,Modify,Response,Monitoring & Containment,7.00,7.00,11.00,11.00,4.00,3.00,4.00,0.00,low,source_limited
feedback-in-the-clinical-setting,Feedback in the clinical setting,2020,burgess_2020_feedback_in_the_clinical_set,,10.1186/s12909-020-02280-5,https://doi.org/10.1186/s12909-020-02280-5,registry,Workflow,Abstract,Response,Monitoring & Containment,6.00,3.50,8.45,2.93,1.50,0.50,2.00,2.00,low,full_text
exploring-the-role-of-synthetic-data-in-the-future-of-ai-in-healthcare-a-scoping,"Exploring the role of synthetic data in the future of AI in healthcare: A scoping review of frameworks, challenges, and implications",2025,rahman_2025_exploring_the_role_of_synthe,,10.1016/j.ibmed.2025.100342,https://doi.org/10.1016/j.ibmed.2025.100342,registry,Workflow,Modify,Response,Preventive Governance,2.00,2.00,4.00,4.00,17.00,17.00,7.00,5.00,low,source_limited
collective-machine-intelligence-a-new-field-for-the-age-of-ai-collectives,Collective Machine Intelligence: A New Field for the Age of AI Collectives,2026,mala_2026_collective_machine_intellige,,10.5281/zenodo.19479940,https://doi.org/10.5281/zenodo.19479940,registry,Memory,Modify,Response,Preventive Governance,2.50,0.00,4.00,4.00,13.00,13.00,7.00,5.00,low,full_text
a-survey-on-model-context-protocol-architecture-state-of-the-art-challenges-and,"A Survey on Model Context Protocol: Architecture, State-of-the-art, Challenges and Future Directions",2025,ray_2025_a_survey_on_model_context_pr,,10.36227/techrxiv.174495492.22752319/v1,https://doi.org/10.36227/techrxiv.174495492.22752319/v1,registry,Tools & Skills,Modify,Response,Preventive Governance,4.00,2.00,4.00,4.00,13.00,13.00,7.00,5.00,medium,source_limited
